ticker,year,date,close,moving_average_50,moving_average_200,trend
AAPL,2016,2016-01-04,23.157791361555017,23.16,23.16,Consolidating
AAPL,2016,2016-01-05,23.86645682922182,23.51,23.51,Consolidating
AAPL,2016,2016-01-06,22.69513613942364,23.24,23.24,Consolidating
AAPL,2016,2016-01-07,22.27084099112857,23.00,23.00,Consolidating
AAPL,2016,2016-01-08,22.24150199579669,22.85,22.85,Consolidating
AAPL,2016,2016-01-11,22.336296861612475,22.76,22.76,Consolidating
AAPL,2016,2016-01-12,22.692873668520424,22.75,22.75,Consolidating
AAPL,2016,2016-01-13,22.640968299416,22.74,22.74,Consolidating
AAPL,2016,2016-01-14,22.108350515551397,22.67,22.67,Consolidating
AAPL,2016,2016-01-15,21.711133008053714,22.57,22.57,Consolidating
AAPL,2016,2016-01-19,22.209904002209765,22.54,22.54,Consolidating
AAPL,2016,2016-01-20,21.46287928973259,22.45,22.45,Consolidating
AAPL,2016,2016-01-21,21.905230614502397,22.41,22.41,Consolidating
AAPL,2016,2016-01-22,22.259556697331117,22.40,22.40,Consolidating
AAPL,2016,2016-01-25,22.91179823423387,22.43,22.43,Consolidating
AAPL,2016,2016-01-26,22.55295328822484,22.44,22.44,Consolidating
AAPL,2016,2016-01-27,21.675026821303355,22.39,22.39,Consolidating
AAPL,2016,2016-01-28,21.16723434706625,22.33,22.33,Consolidating
AAPL,2016,2016-01-29,21.39292351929162,22.28,22.28,Consolidating
AAPL,2016,2016-02-01,21.772072063368448,22.25,22.25,Consolidating
AAPL,2016,2016-02-02,21.535101167600185,22.22,22.22,Consolidating
AAPL,2016,2016-02-03,21.44030786567229,22.18,22.18,Consolidating
AAPL,2016,2016-02-04,21.7518032483828,22.16,22.16,Consolidating
AAPL,2016,2016-02-05,21.9015545263498,22.15,22.15,Consolidating
AAPL,2016,2016-02-08,21.13232964362086,22.11,22.11,Consolidating
AAPL,2016,2016-02-09,21.39554831537892,22.08,22.08,Consolidating
AAPL,2016,2016-02-10,21.76540796188972,22.07,22.07,Consolidating
AAPL,2016,2016-02-11,21.28209024482134,22.04,22.04,Consolidating
AAPL,2016,2016-02-12,21.37285997871436,22.02,22.02,Consolidating
AAPL,2016,2016-02-16,21.561188972251205,22.01,22.01,Consolidating
AAPL,2016,2016-02-17,21.93559806430873,22.00,22.00,Consolidating
AAPL,2016,2016-02-18,22.42799956626486,22.02,22.02,Consolidating
AAPL,2016,2016-02-19,21.78356208673948,22.01,22.01,Consolidating
AAPL,2016,2016-02-22,21.8539022165142,22.01,22.01,Consolidating
AAPL,2016,2016-02-23,21.874328566345984,22.00,22.00,Consolidating
AAPL,2016,2016-02-24,21.32519900253808,21.98,21.98,Consolidating
AAPL,2016,2016-02-25,21.794905361321533,21.98,21.98,Consolidating
AAPL,2016,2016-02-26,22.05585999073366,21.98,21.98,Consolidating
AAPL,2016,2016-02-29,21.97870678374676,21.98,21.98,Consolidating
AAPL,2016,2016-03-01,22.1579713067291,21.98,21.98,Consolidating
AAPL,2016,2016-03-02,22.806942169431185,22.00,22.00,Consolidating
AAPL,2016,2016-03-03,22.82281934823313,22.02,22.02,Consolidating
AAPL,2016,2016-03-04,23.228992473127164,22.05,22.05,Consolidating
AAPL,2016,2016-03-07,23.233531180815373,22.08,22.08,Consolidating
AAPL,2016,2016-03-08,22.868202544078848,22.10,22.10,Consolidating
AAPL,2016,2016-03-09,22.98847232054568,22.12,22.12,Consolidating
AAPL,2016,2016-03-10,23.01115952804202,22.13,22.13,Consolidating
AAPL,2016,2016-03-11,23.19950512812045,22.16,22.16,Consolidating
AAPL,2016,2016-03-14,23.124623782075147,22.18,22.18,Consolidating
AAPL,2016,2016-03-15,23.5897883074565,22.20,22.20,Consolidating
AAPL,2016,2016-03-16,23.73727683723696,22.22,22.23,Bearish
AAPL,2016,2016-03-17,23.943768291745855,22.22,22.27,Bearish
AAPL,2016,2016-03-18,24.12983522671478,22.25,22.30,Bearish
AAPL,2016,2016-03-21,24.03680219037961,22.28,22.33,Bearish
AAPL,2016,2016-03-22,23.88250144105621,22.31,22.36,Bearish
AAPL,2016,2016-03-23,24.1616025550572,22.35,22.40,Bearish
AAPL,2016,2016-03-24,23.93242435451574,22.38,22.42,Bearish
AAPL,2016,2016-03-28,24.05268521462685,22.40,22.45,Bearish
AAPL,2016,2016-03-29,23.80081014139025,22.44,22.47,Bearish
AAPL,2016,2016-03-30,24.65400545725944,22.50,22.51,Bearish
AAPL,2016,2016-03-31,24.896805871349844,22.55,22.55,Consolidating
AAPL,2016,2016-04-01,24.683507218771677,22.61,22.58,Bullish
AAPL,2016,2016-04-04,25.05564558418411,22.68,22.62,Bullish
AAPL,2016,2016-04-05,24.84914846734152,22.73,22.66,Bullish
AAPL,2016,2016-04-06,25.012530052663656,22.77,22.69,Bullish
